#{"t_start": 1781910846.894009, "env_id": "None"}
r,l,t
-1.1,114,1493.553698
1.58,159,1495.557951
1.25,119,1496.191489
1.4,150,1497.053466
-1.66,117,1498.492965
1.88,34,1498.676028
1.88,29,1498.83157
1.39,110,1499.505811
1.88,31,1499.678897
1.88,35,1499.872881
1.88,31,1500.070393
1.17,142,1501.030232
1.88,39,1501.326423
1.88,47,1502.528105
1.88,43,1502.764365
1.03,120,1503.357815
1.74,72,1503.713973
1.88,27,1503.862973
1.88,40,1504.079116
1.88,38,1504.298963
-1.58,154,1505.12043
-1.04,123,1506.663774
-3.35,66,1507.082795
-1.29,140,1507.922495
1.88,36,1508.163629
1.88,27,1508.335083
1.88,59,1508.694428
-3.59,137,1510.440195
1.88,32,1510.617683
-2.28,96,1511.166768
1.88,23,1511.298172
-2.21,126,1511.96715
1.88,55,1512.243728
1.88,31,1512.399973
1.88,32,1512.570209
-1.18,60,1513.796345
1.34,132,1514.674965
1.88,32,1514.91022
1.88,31,1515.134916
1.88,47,1515.453396
1.88,35,1515.658834
-1.21,120,1516.33802
1.88,47,1516.579674
-2.46,121,1517.723784
1.88,35,1517.871932
1.27,160,1518.469885
1.58,159,1518.908703
-2.04,131,1519.826533
1.88,77,1520.04323
1.88,26,1520.126636
-2.84,103,1520.441317
-1.62,79,1520.670481
-1.59,140,1521.125669
1.88,65,1521.90634
-1.65,134,1522.294178
1.88,25,1522.362571
-2.18,112,1522.669408
1.63,139,1523.04402
-2.47,126,1523.852407
1.88,35,1523.940102
-3.4,72,1524.115424
1.88,30,1524.190257
1.4,88,1524.411747
1.59,22,1524.467327
1.88,23,1524.52899
1.32,146,1524.919689
1.88,79,1525.64496
1.88,44,1525.775492
-3.75,104,1526.077219
-1.06,110,1526.410539
-1.78,138,1526.788692
1.88,26,1526.859688
-1.8,145,1528.057233
1.88,14,1528.103266
1.88,23,1528.193639
1.88,59,1528.361804
1.88,23,1528.433385
1.7,156,1528.864977
1.58,158,1529.376683
1.88,114,1530.183008
1.88,27,1530.259521
1.68,132,1530.609258
-1.16,145,1531.044139
1.68,154,1532.027546
1.88,23,1532.094865
1.88,28,1532.173505
1.88,27,1532.251708
-1.23,154,1532.67955
1.88,99,1532.933668
-2.5,96,1533.166058
1.88,31,1533.768067
1.88,40,1533.925398
-1.13,87,1534.246513
1.88,32,1534.358159
1.88,55,1534.552347
1.88,35,1534.648085
1.88,44,1534.771902
1.88,26,1534.842602
1.88,31,1534.924449
-1.33,142,1535.305766
1.88,44,1535.949409
1.71,123,1536.269065
1.66,162,1536.682518
1.88,31,1536.781579
1.16,138,1537.188382
1.88,36,1537.816017
1.72,159,1538.265883
-1.18,139,1538.627407
-1.39,144,1538.986471
1.88,23,1539.066317
-1.68,125,1539.849724
1.88,51,1540.011516
-1.37,122,1540.463004
-1.9,132,1540.904851
-2.01,116,1541.249232
-1.07,104,1541.996929
-1.15,147,1542.352782
1.4,151,1542.730786
1.58,159,1543.586622
-2.95,109,1543.869735
-1.27,130,1544.208825
-1.29,133,1544.561191
1.88,18,1544.609406
1.88,45,1544.7265
1.56,145,1545.484117
1.88,62,1545.630495
-1.65,137,1545.965014
1.88,27,1546.033379
-1.11,146,1546.451217
1.58,158,1547.545224
1.73,82,1547.765057
1.88,32,1547.860943
1.58,158,1548.272657
1.88,51,1548.396752
1.88,27,1548.461574
-1.44,115,1549.264354
1.88,39,1549.36906
1.88,60,1549.539072
1.88,50,1549.67171
1.88,36,1549.767805
1.88,147,1550.180234
-1.54,98,1550.464314
1.88,26,1551.180797
1.88,39,1551.287128
1.88,55,1551.427255
-1.87,138,1551.774054
1.88,31,1551.851703
