#{"t_start": 1781910059.008159, "env_id": "None"}
r,l,t
-2.31,12,168.520384
1.88,19,168.578086
-6.41,53,168.723474
-6.28,48,168.847236
1.41,29,168.923612
-6.74,47,169.054336
-2.05,9,169.080289
-1.98,10,169.108643
-2.19,16,169.61333
-4.53,103,169.870716
1.88,19,169.919316
-5.89,85,170.134984
-6.79,46,170.268156
-1.98,13,170.304144
-1.98,10,170.331138
-5.99,54,170.469247
-5.68,60,170.636101
-6.55,49,170.761955
-4.64,119,171.491357
-2.31,11,171.52103
-1.98,10,171.55154
-5.55,94,171.777844
-2.14,9,171.805733
-1.93,7,171.82607
-6.48,55,171.997122
-6.49,57,172.184646
-5.49,122,172.522942
-5.63,88,173.315171
-2.0,14,173.361701
1.41,23,173.423772
-6.74,45,173.570787
-6.79,56,173.751209
-6.59,50,173.903256
-6.72,49,174.058766
-2.03,13,174.099843
-2.39,16,174.150351
-5.43,77,174.350372
-2.05,9,174.376752
-6.41,57,174.542375
-6.58,52,174.676973
-2.03,10,174.706203
-2.05,15,174.745843
-2.12,12,174.782294
-6.54,53,175.398541
-5.85,60,175.569235
-2.11,12,175.612877
-6.71,48,175.763256
-2.03,7,175.782777
-6.43,51,175.924031
-1.97,15,175.969024
-6.71,51,176.120074
-6.19,53,176.27026
-6.35,58,176.429573
-6.43,51,176.592982
-1.92,7,176.614686
-1.98,6,176.639164
1.46,28,176.725712
-6.77,50,177.306289
-1.98,13,177.338948
-6.73,47,177.463114
-1.93,7,177.481853
-2.03,9,177.509663
1.41,21,177.566164
-2.11,9,177.591081
-6.76,49,177.722685
-6.15,63,177.886125
-6.57,50,178.032621
-6.06,57,178.188077
-6.49,61,178.351292
-6.34,60,178.518246
-5.35,83,179.25299
1.41,36,179.338628
